Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AXL,"American Axle & Manufacturing Holdings, Inc.",10.7,$1.2B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,45.94,$6.31B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",14.21,$2.37B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",93.75,$46.31B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",53.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aep^b
AEL,American Equity Investment Life Holding Company,29.79,$2.71B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,26.04,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AXP,American Express Company,124.49,$101.87B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",109.41,$9.87B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",26.96,n/a,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",26.91,$26.86M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGH,"American Financial Group, Inc.",26.29,n/a,2015,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,25.71,$7.73B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,26.35,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,26.24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,25.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,25.5676,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,26.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/amh^h
AIG,"American International Group, Inc.",50.97,$44.34B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",27.39,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aig^a
ARL,"American Realty Investors, Inc.",15.43,$246.83M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",9.66,$315M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara
AWR,American States Water Company,85.56,$3.15B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),226.97,$100.53B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,19.23,$580.49M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd
AWK,American Water Works,121.39,$21.94B,2008,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,34.28,$6.57B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",167.28,$21.19B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),85.6,$17.63B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
RYCE,Amira Nature Foods Ltd,6.63,$13.38M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ryce
AMN,AMN Healthcare Services Inc,61.49,$2.87B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn
AMRX,"Amneal Pharmaceuticals, Inc.",4.61,$1.38B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx
AP,Ampco-Pittsburgh Corporation,3.02,$38.18M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap
APH,Amphenol Corporation,107.26,$31.8B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph
AXR,AMREP Corporation,5.68,$46.22M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr
HKIB,AMTD International Inc.,8.5,$1.96B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hkib
AME,"AMTEK, Inc.",100.14,$22.89B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame
PLAN,"Anaplan, Inc.",52.82,$7.06B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan
FINS,Angel Oak Financial Strategies Income Term Trust,20.8,$239.6M,2019,n/a,n/a,https://old.nasdaq.com/symbol/fins
AU,AngloGold Ashanti Limited,20.5,$8.5B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,81.86,$160.39B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,87.59,$2.96B,n/a,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,9.57,$13.69B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nly
NLY^D,Annaly Capital Management Inc,25.68,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,25.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,25.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^g
NLY^I,Annaly Capital Management Inc,26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nly^i
AM,Antero Midstream Corporation,7.22,$3.49B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am
AR,Antero Resources Corporation,2.91,$866.16M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",303.18,$76.88B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm
ANH,Anworth Mortgage Asset  Corporation,3.62,$357.82M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,22.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.7336,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/anh^c
AON,Aon plc,207.8,$48.65B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon
APA,Apache Corporation,26.53,$9.98B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,50.47,$7.51B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv
APY,Apergy Corporation,33.7,$2.61B,2018,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/apy
APHA,Aphria Inc.,4.88,$1.23B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/apha
ARI,Apollo Commercial Real Estate Finance,18.75,$2.88B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
APO,"Apollo Global Management, Inc",47.31,$19.06B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, Inc",26.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, Inc",27.39,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^b
AFT,Apollo Senior Floating Rate Fund Inc.,15.13,$235.62M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,15.08,$218.12M,2013,n/a,n/a,https://old.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",16.09,$3.6B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",66.45,$2.57B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",115.37,$7.38B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr
APTV,Aptiv PLC,95.53,$24.39B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv
WTR,"Aqua America, Inc.",46.21,$9.97B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtr
WTRU,"Aqua America, Inc.",61.867,n/a,2019,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtru
WAAS,AquaVenture Holdings Limited,27.1,$860.15M,2016,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/waas
ARMK,Aramark,43.53,$10.86B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,14.37,$1.58B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,26.28,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.825,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.6338,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ARC,"ARC Document Solutions, Inc.",1.42,$65.16M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc
MT,ArcelorMittal,17.83,$18.04B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt
ARCH,"Arch Coal, Inc.",70.54,$1.06B,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,46.02,$25.62B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",9.87,$1.5B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,31.53,$13.65B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,8.08,$1.65B,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco
ACA,"Arcosa, Inc.",45.12,$2.18B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
RCUS,"Arcus Biosciences, Inc.",9.86,$452.17M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rcus
ARD,Ardagh Group S.A.,19.94,$4.71B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard
ASC,Ardmore Shipping Corporation,8.99,$297.55M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,26.25,$210M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/afc
ACRE,Ares Commercial Real Estate Corporation,16.26,$469.35M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",15.02,$344.18M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ardc
ARES,Ares Management Corporation,34.79,$8.05B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/ares
ARES^A,Ares Management Corporation,26.94,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ares^a
AGX,"Argan, Inc.",40.15,$627.68M,n/a,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx
ARGD,"Argo Group International Holdings, Ltd.",25.68,n/a,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argd
